"Date","Competition/Event","Home Team","Away Team","Home Goals","Away Goals","Result (W/D/L)","Goal Scorers (Croatia only","unless Own Goal/Opponent Scorer listed)","Time of Goals (Croatia only","unless Own Goal/Opponent Scorer listed)"
"2023-03-28","UEFA Euro 2024 Qualifying","Türkiye","Croatia",0,2,"W","Mateo Kovačić (2)","",NA,NA
"2023-06-14","UEFA Nations League Finals Semi-final","Netherlands","Croatia",2,4,"W","Andrej Kramarić (pen), Mario Pašalić, Bruno Petković, Luka Modrić (pen)","",NA,NA
"2023-06-18","UEFA Nations League Final","Croatia","Spain",0,0,"D","","",NA,NA
"2023-09-08","UEFA Euro 2024 Qualifying","Croatia","Latvia",5,0,"W","Bruno Petković (2), Luka Ivankušec (own goal? - info not specific), Andrej Kramarić, Mario Pašalić","",NA,NA
"2023-09-11","UEFA Euro 2024 Qualifying","Armenia","Croatia",0,1,"W","Andrej Kramarić","",NA,NA
"2023-10-12","UEFA Euro 2024 Qualifying","Croatia","Türkiye",0,1,"L","","",NA,NA
"2023-10-15","UEFA Euro 2024 Qualifying","Wales","Croatia",2,1,"L","Mario Pašalić","",NA,NA
"2023-11-18","UEFA Euro 2024 Qualifying","Latvia","Croatia",0,2,"W","Lovro Majer, Andrej Kramarić","",NA,NA
"2023-11-21","UEFA Euro 2024 Qualifying","Croatia","Armenia",1,0,"W","Ante Budimir","",NA,NA
"2024-03-23","Friendly International","Tunisia","Croatia",0,0,"D","","",NA,NA
"2024-03-26","Friendly International","Egypt","Croatia",2,4,"W","Nikola Vlašić, Bruno Petković, Andrej Kramarić, Lovro Majer","",NA,NA
"2024-06-03","Friendly International","Croatia","North Macedonia",3,0,"W","Lovro Majer (2), Bruno Petković","",NA,NA
"2024-06-08","Friendly International","Portugal","Croatia",1,2,"W","Luka Modrić (pen), Ante Budimir","",NA,NA
"2024-06-15","UEFA Euro 2024 Group Stage (B)","Spain","Croatia",3,0,"L","","",NA,NA
"2024-06-19","UEFA Euro 2024 Group Stage (B)","Croatia","Albania",2,2,"D","Andrej Kramarić, Klaus Gjasula (own goal)","",NA,NA
"2024-06-24","UEFA Euro 2024 Group Stage (B)","Croatia","Italy",1,1,"D","Luka Modrić","",NA,NA
"2024-09-05","2024-25 UEFA Nations League A","Portugal","Croatia",2,1,"L","Borna Sosa","",NA,NA
"2024-09-08","2024-25 UEFA Nations League A","Croatia","Poland",1,0,"W","Bruno Petković","",NA,NA
"2024-10-12","2024-25 UEFA Nations League A","Croatia","Scotland",2,1,"W","Bruno Petković, Luka Modrić","",NA,NA
"2024-10-15","2024-25 UEFA Nations League A","Poland","Croatia",3,3,"D","Andrej Kramarić, Bruno Petković, Ivan Perišić","",NA,NA
"2024-11-15","2024-25 UEFA Nations League A","Scotland","Croatia",1,0,"L","","",NA,NA
"2024-11-18","2024-25 UEFA Nations League A","Croatia","Portugal",1,1,"D","Luka Sučić","",NA,NA
"2025-03-20","2024-25 UEFA Nations League Quarter-finals","Croatia","France",2,0,"W","Andrej Kramarić, Mateo Kovačić","",NA,NA
"2025-03-23","2024-25 UEFA Nations League Quarter-finals","France","Croatia",2,0,"L","","",NA,NA
"2025-06-06","2026 FIFA World Cup Qualification","Gibraltar","Croatia",0,7,"W","Andrej Kramarić (2), Bruno Petković (2), Luka Modrić, Joško Gvardiol, Nikola Vlašić","",NA,NA
"2025-06-09","2026 FIFA World Cup Qualification","Croatia","Czech Republic",5,1,"W","Andrej Kramarić (2), Bruno Petković, Luka Modrić, Lovro Majer","",NA,NA
"2025-09-05","2026 FIFA World Cup Qualification","Faroe Islands","Croatia",0,1,"W","Andrej Kramarić","",NA,NA
"2025-09-08","2026 FIFA World Cup Qualification","Croatia","Montenegro",4,0,"W","Bruno Petković (2), Andrej Kramarić, Nikola Vlašić","",NA,NA
"2025-10-09","2026 FIFA World Cup Qualification","Czech Republic","Croatia",0,0,"D","","",NA,NA
"2025-10-12","2026 FIFA World Cup Qualification","Croatia","Gibraltar",3,0,"W","Luka Modrić, Andrej Kramarić, Bruno Petković","",NA,NA
"2025-11-14","2026 FIFA World Cup Qualification","Croatia","Faroe Islands",3,1,"W","Andrej Kramarić (2), Bruno Petković","",NA,NA
"2025-11-17","2026 FIFA World Cup Qualification","Montenegro","Croatia",2,3,"W","Andrej Kramarić, Luka Modrić, Joško Gvardiol","",NA,NA
